Phase,Mean_Atomic_Radius,Atomic_Size_Diff,Avg_Tm,Std_Dev_Tm,H_mix,Std_Dev_H_mix,S_mix,EN,Std_Dev_EN,VEC,Std_Dev_VEC,Mean_Bulk_Mod,Std_Dev_Bulk_Mod
BCC_SS,0.3563170892,-0.7026305685,0.3523588503,0.324375855,-0.2081292585,0.3781799641,0.5427748523,-0.3880073511,-0.8110210413,-0.5341546344,-0.7921584995,-0.0717361895,-0.4045009706
BCC_SS,0.3128267961,-0.6975759086,0.2235698471,0.3236717961,-0.393927264,0.5035588732,0.5709420068,0.121509813,0.1888494787,-0.4942357647,-0.6353591508,-0.003089116589,-0.1571519369
BCC_SS,0.3019918402,-0.6829216318,0.3453342442,-0.0318478419,-0.03318633734,0.1293543066,0.4768160215,0.1653852469,0.2459087988,-0.43275644,-0.713038615,0.08084164102,-0.1886011105
BCC_SS,0.3534578803,-0.6943157864,0.420816877,0.1392043916,-0.0009728150955,0.1341821186,0.4768160215,-0.3960412202,-0.8079618952,-0.5057631377,-0.8442209529,-0.03380887052,-0.4316569593
BCC_SS,0.3007664507,-0.6813426615,0.4637901566,0.1153359955,0.248702171,-0.3526392552,0.4558341364,0.08427005279,0.3369489559,-0.4258034232,-0.724327207,0.2959974683,-0.2598374172
BCC_SS,0.6903674369,-0.4873015961,0.3150080404,0.1302003564,-0.00148527129,0.3614835256,0.5906962113,-0.6534467541,-0.499951402,-0.6010368799,-0.8449635396,-0.2640088594,-0.4655923348
BCC_SS,0.6903674369,-0.4873015961,0.3150080404,0.1302003564,-0.00148527129,0.3614835256,0.5906962113,-0.6534467541,-0.499951402,-0.6010368799,-0.8449635396,-0.2640088594,-0.4655923348
BCC_SS,0.6903674369,-0.4873015961,0.3150080404,0.1302003564,-0.00148527129,0.3614835256,0.5906962113,-0.6534467541,-0.499951402,-0.6010368799,-0.8449635396,-0.2640088594,-0.4655923348
BCC_SS,0.2736855106,-0.4434771348,0.1175931769,0.01784514963,-0.2333723935,0.2881833218,0.4045540916,-0.3165058098,-0.8260577149,-0.520364479,-0.6674771508,-0.2137320044,-0.5663276662
BCC_SS,0.3077102737,-0.6904961864,0.2810696973,0.1673206628,-0.2368629248,0.3684367201,0.5427748523,0.1422287554,0.2165281385,-0.4652038644,-0.6676222182,0.0365448489,-0.1697090552
BCC_SS,0.262273468,-0.7623796569,0.4960975119,0.2613009981,-0.1882370159,0.3554269093,0.5573031082,0.1022340027,0.2433894016,-0.4097434629,-0.6986438383,0.2031392918,-0.1778174113
BCC_SS,0.3253854948,-0.7163008575,0.08243384196,0.6524034514,-0.6786543384,0.6841246618,0.5591592076,0.07065419681,0.1147442833,-0.5654958907,-0.581799475,-0.1003724943,-0.1426943064
BCC_SS,0.2591034582,-0.5430729321,0.03870467086,0.4017213829,-0.7315069197,0.6272754859,0.5427748523,-0.2795499657,-0.876363576,-0.5686300194,-0.6463189356,-0.2390796125,-0.4883618121
BCC_SS,0.2591034582,-0.5430729321,0.03870467086,0.4017213829,-0.7315069197,0.6272754859,0.5427748523,-0.2795499657,-0.876363576,-0.5686300194,-0.6463189356,-0.2390796125,-0.4883618121
Im,0.2591034582,-0.5430729321,0.03870467086,0.4017213829,-0.7315069197,0.6272754859,0.5427748523,-0.2795499657,-0.876363576,-0.5686300194,-0.6463189356,-0.2390796125,-0.4883618121
Im,0.2591034582,-0.5430729321,0.03870467086,0.4017213829,-0.7315069197,0.6272754859,0.5427748523,-0.2795499657,-0.876363576,-0.5686300194,-0.6463189356,-0.2390796125,-0.4883618121
FCC_SS,0.2299393765,-0.4952732467,0.1713314471,0.4522830469,-0.3153240476,0.6347419222,0.5782986501,0.1245542247,0.1532214077,-0.4583087859,-0.5330535735,-0.04318936877,-0.1520096048
