Mean_Atomic_Radius,Atomic_Size_Diff,Avg_Tm,Std_Dev_Tm,H_mix,Std_Dev_H_mix,S_mix,EN,Std_Dev_EN,VEC,Std_Dev_VEC,Mean_Bulk_Mod,Std_Dev_Bulk_Mod,Phase
0.4651271878,-0.8334106079,5.114467946,-0.9893844255,-0.3583270317,1.032562303,-0.6340947069,2.119305905,2.148428837,-0.3488819262,-1.112049264,5.140061794,1.953039465,BCC_SS
1.288592897,0.4056750729,0.3521790221,1.902788893,-2.78923884,4.509612785,0.1019279057,-1.173821117,0.2520304218,-1.926856931,-0.8303609855,-1.86117983,-1.142167982,BCC_SS
-0.131678398,0.9431051687,-1.663549558,0.6582932328,-1.242133377,-0.2758152701,-0.8854539101,-0.3122380699,0.7974382442,-0.03394021755,0.7130393068,-0.3940881211,0.8719947328,Im
-1.12829938,-1.901855789,-1.039738019,-1.951021151,-0.3749076409,-0.2345158045,-1.525838938,0.06385552966,0.7953904686,1.513421298,-0.2310779095,0.107724724,-0.3390767271,FCC_SS
-9.24245706,-89.91556819,-9.130143137,-71.56221951,15.63140275,-75.61271567,-24.92441036,13.76017028,-79.52316884,81.51858339,-22.52702017,9.893520128,-74.1601806,Im
1.508539491,0.4242558285,1.289392839,0.3368994582,0.8511641263,-0.3431135406,0.5111502246,-1.510568588,-0.3500172731,-1.034624587,-1.384646503,-0.9659698933,0.1595807529,BCC_SS
0.3240546095,1.928367483,-0.1751280453,-1.019679606,-2.02294531,2.237676125,-0.6428068175,-0.3969003605,1.029969299,-0.1310041366,1.970010674,-0.5366984062,0.432639044,Im
2.243047788,0.00564641001,0.7468289408,0.4098572007,1.968116256,-1.25408999,-1.018946013,-2.33255065,-1.013974593,-1.771475827,-2.545565915,-1.220403159,-0.1014627886,BCC_SS
1.496302047,0.4579475994,1.273903319,0.319754343,0.8401824096,-0.3323661104,0.5522794911,-1.515952453,-0.3172785413,-1.031819616,-1.384587673,-0.983843079,0.1606773757,BCC_SS
-0.154647036,0.009738994502,-1.586002025,0.02282844478,-1.160069394,-0.1060981892,-0.8784593885,-0.2699841962,0.7108197821,0.08512565774,0.5946441142,-0.3768862276,0.3077836167,Im
0.7119795371,0.6625604607,-2.276350773,-0.819915438,1.545264003,-1.233944218,-2.080764349,-0.8288887303,0.6075635339,-2.191420506,1.260514194,-2.222909711,-0.8528219565,Im
-0.6106097308,-0.6528759521,-0.0197529055,-1.344902626,0.3884967642,-0.5791560214,0.1734174372,0.4678196956,-0.5887375542,0.5194077261,0.267511689,0.8714516766,-1.16892815,FCC_SS
0.6696925278,-0.1801081217,-2.370442952,-1.848439041,1.597474666,-1.159699279,-2.577045515,-0.715148104,-1.407687859,-3.12851036,-0.1777178754,-2.185349498,-1.212083591,Im
0.09662760656,1.434563191,-0.9758234176,0.918585932,-1.200525289,0.9281412152,1.494834636,-0.05739631224,0.1917644623,-0.1916462585,1.568989506,-0.2835852939,0.8086290677,BCC_SS
0.03721520039,0.5723178075,-1.108881055,1.106236341,-0.435989671,-0.08350606132,0.5238357812,0.2653749971,-0.1607149485,0.006261174311,1.19685578,-0.07486355468,0.7234449575,Im
-0.9393776712,-0.6793173127,0.115477268,-0.4401162894,0.7505439156,-0.9541740421,-0.5768857507,1.705656127,-0.4975869315,1.837026463,0.2031440152,1.424532324,-1.1160049,FCC_SS
-0.5908110032,-0.4185805224,-0.0728390553,-0.5055550168,0.4569744344,0.1080536112,-0.4823861575,1.849074311,-1.080184589,1.89359847,0.2476686931,1.516233482,-1.183691424,FCC_SS
-0.7006094016,-0.9568255403,-0.7698921963,-0.07411455684,1.815251134,1.802009657,0.5592340399,0.1615062777,0.5513484659,1.49009057,0.5032687576,-0.01740004955,-0.7192367189,FCC_PLUS_BCC
0.360086734,-0.7656026614,1.699719562,-0.9827800677,0.003994937279,-0.836240903,-1.119295402,-0.2134341835,1.329259388,-0.3965728696,-1.57932718,0.8955417453,1.184644141,BCC_SS
0.172697021,1.248181111,-0.9242455183,0.8855719178,-0.945305739,0.7328304893,1.332116012,-0.02446532601,0.1516345969,-0.1648056233,1.45532277,-0.215745121,0.7747591228,BCC_SS
0.7349842111,-0.4357218213,1.515094553,0.6015120761,0.1965074251,-0.7896812478,-1.218038082,-1.003893707,-1.870100777,-0.7080932272,-1.414093235,-0.679395048,0.4286849081,BCC_SS
-0.3490338979,-0.189600315,-0.4742574219,0.146549571,0.07846799885,-0.2453095758,-1.011027806,0.6957449115,-0.3267986509,0.794236046,0.9166185018,0.659534417,-0.1150989417,FCC_SS
1.00562949,0.3002321785,0.8249111718,1.244585003,-0.8391023811,1.263467492,1.024742218,-1.184317681,-0.792652518,-1.200419768,-0.9670326456,-1.110162333,0.2706831858,BCC_SS
-0.6473418535,-0.523348723,0.3319002157,-0.1467259956,0.3994744445,0.1261247316,-0.2155796368,1.599825699,0.0706510358,0.9677032366,0.1132879999,1.569087504,-0.9672015817,Im
-0.455432236,-0.5414983043,0.218464721,-0.2390406379,0.1999208901,1.257211797,-1.133362807,1.627487869,-0.7736480613,0.5611734594,-0.2628851656,1.431421012,-0.9831614836,Im
0.04254338898,0.571844052,-1.110266457,1.111442784,-0.4309295238,-0.08433833249,0.5230844276,0.2458777676,-0.1645211233,-0.001388343035,1.186117346,-0.08687325771,0.7228493303,Im
0.2334207673,1.533641439,-1.821950753,0.8712856622,-0.9936408863,1.344576956,0.5219804652,-0.05139360773,0.7545375887,0.01603250742,2.058312133,-0.5159921056,0.5904399888,FCC_SS
-0.4026252211,0.1366200115,-0.7457337636,-0.2837245914,-0.8765735562,0.5935041049,-0.134641781,0.2888584093,0.3513434394,0.4086729457,0.5894661643,0.1392832044,-0.1290020661,Im
0.3042763486,0.129353672,1.5438963,0.8884990397,0.3686053686,-0.7180318518,0.4059544461,1.917504141,1.683755768,-0.3655144993,-0.5073907052,1.919353539,2.052808367,Im
0.4953141504,1.95101713,0.7141649161,0.2613653366,-1.598355088,2.199395902,1.251670753,-0.5722381988,1.212743991,-0.8783791561,-0.7906864943,-0.7127905385,0.656654646,Im
0.8368427958,1.841194299,0.6944236481,-0.686522258,0.1918627101,-0.9575704343,0.541242359,-1.217670127,0.6677541126,-0.7026349874,-0.4997866237,-1.159421587,-0.5069672095,Im
-1.833910128,-1.105062469,0.135417112,-1.273587354,0.9646224608,-1.510456239,-1.63884765,0.9681510867,-0.6081604691,1.500546156,0.3392111438,1.277239244,-1.3873115,FCC_SS
0.2236433755,1.510352927,-1.392670786,0.8402874175,-0.1186812941,1.532711919,5.406530561,-0.391261203,0.7080087462,-0.1993728966,1.633848869,-0.539550624,0.2588325576,Im
0.3633209451,0.04017023644,0.353668868,1.615143982,-1.802670442,1.524035941,-0.02058089536,-0.6017143589,-2.204240005,-0.8929458955,-0.3145012046,-0.9827634833,0.05086209434,BCC_SS
-1.113394261,-1.372443028,-0.2926644221,-0.8298934071,-0.1202735027,0.2407651317,0.537773205,0.03801496025,0.383012962,0.6883691725,-0.04692567598,0.3933798667,-0.6978983204,FCC_SS
-5.088384562,-38.93289212,-4.149267023,-31.43520495,7.25647006,-33.09738851,-10.96273292,6.8962461,-34.60189325,35.74532379,-9.63350955,4.828374611,-32.69101566,FCC_SS
0.5799106538,1.170244835,0.7784011985,-0.3595596921,-0.92194865,0.5489247308,-0.1251710178,-0.5040421109,1.140669067,-0.5215074463,-0.7775393074,-0.395269121,1.052306028,BCC_SS
0.3738390483,-0.7484686629,2.08710077,0.02580180804,-0.6975748578,0.5789141184,0.5269728306,1.643704181,1.839447269,-0.3574757186,-1.365273834,2.133673095,1.826967829,BCC_SS
